kernel,mesh_width,mesh_height,nb_repeat,cores,dram
stencil_avx2,45,100,10,0.91470,0.30490
stencil_avx2,45,1000,10,7.02370,2.00210
stencil_avx2,45,2000,10,14.94070,4.04590
stencil_avx2,50,5,10,0.39750,0.13020
stencil_avx2,50,10,10,0.44070,0.14500
stencil_avx2,50,15,10,0.48470,0.16620
stencil_avx2,50,20,10,0.52920,0.17450
stencil_avx2,50,25,10,0.54560,0.18290
stencil_avx2,50,30,10,0.56640,0.18880
stencil_avx2,50,35,10,0.48090,0.16020
stencil_avx2,50,40,10,0.63440,0.20890
stencil_avx2,50,45,10,0.60450,0.20330
stencil_avx2,50,50,10,0.63520,0.21040
stencil_avx2,50,100,10,0.83160,0.27370
stencil_avx2,50,1000,10,7.25420,2.07150
stencil_avx2,50,2000,10,14.07830,3.87160
stencil_avx2,100,5,10,0.43780,0.14350
stencil_avx2,100,10,10,0.50330,0.16060
stencil_avx2,100,15,10,0.60960,0.20180
stencil_avx2,100,20,10,0.58950,0.18960
stencil_avx2,100,25,10,0.72720,0.23870
stencil_avx2,100,30,10,0.85910,0.28820
stencil_avx2,100,35,10,0.82150,0.27430
stencil_avx2,100,40,10,0.90700,0.30260
stencil_avx2,100,45,10,0.89520,0.28810
stencil_avx2,100,50,10,1.12450,0.36950
stencil_avx2,100,100,10,1.89520,0.62480
stencil_avx2,100,1000,10,14.98430,4.16200
stencil_avx2,100,2000,10,28.92430,7.63400
stencil_avx2,1000,5,10,0.90230,0.29620
stencil_avx2,1000,10,10,1.39770,0.47040
stencil_avx2,1000,15,10,1.92880,0.64350
stencil_avx2,1000,20,10,2.62210,0.83250
stencil_avx2,1000,25,10,2.96930,0.95220
stencil_avx2,1000,30,10,3.69620,1.20660
stencil_avx2,1000,35,10,5.46510,1.61960
stencil_avx2,1000,40,10,6.10280,1.81280
stencil_avx2,1000,45,10,6.27970,1.77250
stencil_avx2,1000,50,10,8.16010,2.44430
stencil_avx2,1000,100,10,15.52520,4.31690
stencil_avx2,1000,1000,10,211.21540,46.92950
stencil_avx2,1000,2000,10,423.12610,89.96340
stencil_avx2,2000,5,10,1.22370,0.39970
stencil_avx2,2000,10,10,2.74650,0.88720
stencil_avx2,2000,15,10,3.10530,0.97060
stencil_avx2,2000,20,10,5.87240,1.74570
stencil_avx2,2000,25,10,7.54710,2.25450
stencil_avx2,2000,30,10,9.07700,2.51120
stencil_avx2,2000,35,10,10.26230,2.90350
stencil_avx2,2000,40,10,11.79580,3.37930
stencil_avx2,2000,45,10,13.18230,3.70870
stencil_avx2,2000,50,10,14.47440,3.96440
stencil_avx2,2000,100,10,28.55770,7.73380
stencil_avx2,2000,1000,10,390.51480,83.83770
stencil_avx2,2000,2000,10,836.15040,187.93470
stencil,5,5,10,0.53400,0.17470
stencil,5,10,10,0.39870,0.12960
stencil,5,15,10,0.42020,0.13740
stencil,5,20,10,0.43960,0.14580
stencil,5,25,10,0.41670,0.13930
stencil,5,30,10,0.44040,0.15370
stencil,5,35,10,0.45150,0.15250
stencil,5,40,10,0.48170,0.15990
stencil,5,45,10,0.46700,0.15420
stencil,5,50,10,0.48570,0.15900
stencil,5,100,10,0.53560,0.17620
stencil,5,1000,10,1.81280,0.59560
stencil,5,2000,10,3.56340,1.14740
stencil,10,5,10,0.37540,0.12470
