kernel,nb_partitions,mesh_width,mesh_height,nb_iterations,nb_repeat,rep,timing,check_status
stencil_starpu,128,512,512,100,10,8,8.375647e-01,0
stencil_starpu,128,512,512,100,10,9,8.903397e-01,0
stencil_starpu,256,512,512,100,10,0,1.487484e+00,0
stencil_starpu,256,512,512,100,10,1,1.268963e+00,0
stencil_starpu,256,512,512,100,10,2,1.258505e+00,0
stencil_starpu,256,512,512,100,10,3,1.541987e+00,0
stencil_starpu,256,512,512,100,10,4,1.595888e+00,0
stencil_starpu,256,512,512,100,10,5,1.393607e+00,0
stencil_starpu,256,512,512,100,10,6,1.302689e+00,0
stencil_starpu,256,512,512,100,10,7,1.487182e+00,0
stencil_starpu,256,512,512,100,10,8,1.477294e+00,0
stencil_starpu,256,512,512,100,10,9,1.399217e+00,0
stencil_starpu,510,512,512,100,10,0,2.540046e+00,0
stencil_starpu,510,512,512,100,10,1,2.455888e+00,0
stencil_starpu,510,512,512,100,10,2,2.645610e+00,0
stencil_starpu,510,512,512,100,10,3,2.515098e+00,0
stencil_starpu,510,512,512,100,10,4,2.781655e+00,0
stencil_starpu,510,512,512,100,10,5,2.683870e+00,0
stencil_starpu,510,512,512,100,10,6,2.648218e+00,0
stencil_starpu,510,512,512,100,10,7,2.833911e+00,0
stencil_starpu,510,512,512,100,10,8,2.937377e+00,0
stencil_starpu,510,512,512,100,10,9,2.468917e+00,0
stencil_starpu,2,1024,1024,100,10,0,3.636532e-01,0
stencil_starpu,2,1024,1024,100,10,1,3.731685e-01,0
stencil_starpu,2,1024,1024,100,10,2,3.583748e-01,0
stencil_starpu,2,1024,1024,100,10,3,3.293325e-01,0
stencil_starpu,2,1024,1024,100,10,4,3.339464e-01,0
stencil_starpu,2,1024,1024,100,10,5,3.608038e-01,0
stencil_starpu,2,1024,1024,100,10,6,3.586958e-01,0
stencil_starpu,2,1024,1024,100,10,7,3.352632e-01,0
stencil_starpu,2,1024,1024,100,10,8,3.560405e-01,0
stencil_starpu,2,1024,1024,100,10,9,3.295422e-01,0
stencil_starpu,4,1024,1024,100,10,0,2.695800e-01,0
stencil_starpu,4,1024,1024,100,10,1,2.685930e-01,0
stencil_starpu,4,1024,1024,100,10,2,2.553570e-01,0
stencil_starpu,4,1024,1024,100,10,3,2.659776e-01,0
stencil_starpu,4,1024,1024,100,10,4,2.561307e-01,0
stencil_starpu,4,1024,1024,100,10,5,2.563644e-01,0
stencil_starpu,4,1024,1024,100,10,6,2.559938e-01,0
stencil_starpu,4,1024,1024,100,10,7,2.600674e-01,0
stencil_starpu,4,1024,1024,100,10,8,2.261379e-01,0
stencil_starpu,4,1024,1024,100,10,9,2.555396e-01,0
stencil_starpu,8,1024,1024,100,10,0,2.379542e-01,0
stencil_starpu,8,1024,1024,100,10,1,2.172901e-01,0
stencil_starpu,8,1024,1024,100,10,2,2.087774e-01,0
stencil_starpu,8,1024,1024,100,10,3,1.801740e-01,0
stencil_starpu,8,1024,1024,100,10,4,2.052703e-01,0
stencil_starpu,8,1024,1024,100,10,5,1.790055e-01,0
stencil_starpu,8,1024,1024,100,10,6,2.099041e-01,0
stencil_starpu,8,1024,1024,100,10,7,2.102998e-01,0
stencil_starpu,8,1024,1024,100,10,8,1.852744e-01,0
stencil_starpu,8,1024,1024,100,10,9,2.135234e-01,0
stencil_starpu,16,1024,1024,100,10,0,2.026935e-01,0
stencil_starpu,16,1024,1024,100,10,1,2.130302e-01,0
stencil_starpu,16,1024,1024,100,10,2,2.005720e-01,0
stencil_starpu,16,1024,1024,100,10,3,1.739439e-01,0
stencil_starpu,16,1024,1024,100,10,4,2.146665e-01,0
stencil_starpu,16,1024,1024,100,10,5,1.668815e-01,0
stencil_starpu,16,1024,1024,100,10,6,1.983103e-01,0
stencil_starpu,16,1024,1024,100,10,7,2.241078e-01,0
stencil_starpu,16,1024,1024,100,10,8,2.166855e-01,0
stencil_starpu,16,1024,1024,100,10,9,1.841934e-01,0
stencil_starpu,32,1024,1024,100,10,0,2.438573e-01,0
stencil_starpu,32,1024,1024,100,10,1,2.980536e-01,0
stencil_starpu,32,1024,1024,100,10,2,2.894668e-01,0
stencil_starpu,32,1024,1024,100,10,3,2.807413e-01,0
stencil_starpu,32,1024,1024,100,10,4,2.785990e-01,0
stencil_starpu,32,1024,1024,100,10,5,2.847108e-01,0
stencil_starpu,32,1024,1024,100,10,6,2.456425e-01,0
stencil_starpu,32,1024,1024,100,10,7,2.912254e-01,0
stencil_starpu,32,1024,1024,100,10,8,2.779973e-01,0
stencil_starpu,32,1024,1024,100,10,9,2.813193e-01,0
stencil_starpu,64,1024,1024,100,10,0,4.033721e-01,0
stencil_starpu,64,1024,1024,100,10,1,4.397420e-01,0
stencil_starpu,64,1024,1024,100,10,2,4.718590e-01,0
stencil_starpu,64,1024,1024,100,10,3,4.897732e-01,0
stencil_starpu,64,1024,1024,100,10,4,4.862622e-01,0
stencil_starpu,64,1024,1024,100,10,5,4.565847e-01,0
stencil_starpu,64,1024,1024,100,10,6,4.321249e-01,0
stencil_starpu,64,1024,1024,100,10,7,4.869036e-01,0
stencil_starpu,64,1024,1024,100,10,8,4.881554e-01,0
stencil_starpu,64,1024,1024,100,10,9,4.677759e-01,0
stencil_starpu,128,1024,1024,100,10,0,7.388641e-01,0
stencil_starpu,128,1024,1024,100,10,1,8.622938e-01,0
stencil_starpu,128,1024,1024,100,10,2,8.139532e-01,0
stencil_starpu,128,1024,1024,100,10,3,8.096640e-01,0
stencil_starpu,128,1024,1024,100,10,4,8.208682e-01,0
stencil_starpu,128,1024,1024,100,10,5,8.564896e-01,0
stencil_starpu,128,1024,1024,100,10,6,8.302194e-01,0
stencil_starpu,128,1024,1024,100,10,7,8.619652e-01,0
stencil_starpu,128,1024,1024,100,10,8,8.399931e-01,0
stencil_starpu,128,1024,1024,100,10,9,7.672255e-01,0
stencil_starpu,256,1024,1024,100,10,0,1.638214e+00,0
stencil_starpu,256,1024,1024,100,10,1,1.483405e+00,0
stencil_starpu,256,1024,1024,100,10,2,1.557209e+00,0
stencil_starpu,256,1024,1024,100,10,3,1.519767e+00,0
stencil_starpu,256,1024,1024,100,10,4,1.581532e+00,0
stencil_starpu,256,1024,1024,100,10,5,1.521979e+00,0
stencil_starpu,256,1024,1024,100,10,6,1.433117e+00,0
stencil_starpu,256,1024,1024,100,10,7,1.568181e+00,0
stencil_starpu,256,1024,1024,100,10,8,1.576065e+00,0
stencil_starpu,256,1024,1024,100,10,9,1.194848e+00,0
stencil_starpu,512,1024,1024,100,10,0,2.925651e+00,0
stencil_starpu,512,1024,1024,100,10,1,2.664093e+00,0
stencil_starpu,512,1024,1024,100,10,2,2.801598e+00,0
stencil_starpu,512,1024,1024,100,10,3,2.792586e+00,0
stencil_starpu,512,1024,1024,100,10,4,2.764231e+00,0
stencil_starpu,512,1024,1024,100,10,5,2.718997e+00,0
stencil_starpu,512,1024,1024,100,10,6,2.526145e+00,0
stencil_starpu,512,1024,1024,100,10,7,2.246383e+00,0
stencil_starpu,512,1024,1024,100,10,8,2.479715e+00,0
stencil_starpu,512,1024,1024,100,10,9,2.726639e+00,0
stencil_starpu,1022,1024,1024,100,10,0,5.349401e+00,0
stencil_starpu,1022,1024,1024,100,10,1,5.653895e+00,0
stencil_starpu,1022,1024,1024,100,10,2,5.571609e+00,0
stencil_starpu,1022,1024,1024,100,10,3,5.504769e+00,0
stencil_starpu,1022,1024,1024,100,10,4,5.712622e+00,0
stencil_starpu,1022,1024,1024,100,10,5,5.690543e+00,0
stencil_starpu,1022,1024,1024,100,10,6,5.253507e+00,0
stencil_starpu,1022,1024,1024,100,10,7,5.338754e+00,0
stencil_starpu,1022,1024,1024,100,10,8,5.143404e+00,0
stencil_starpu,1022,1024,1024,100,10,9,5.069318e+00,0
stencil_starpu,2,2048,2048,100,10,0,1.016822e+00,0
stencil_starpu,2,2048,2048,100,10,1,9.700140e-01,0
stencil_starpu,2,2048,2048,100,10,2,9.674091e-01,0
stencil_starpu,2,2048,2048,100,10,3,9.365114e-01,0
stencil_starpu,2,2048,2048,100,10,4,9.662485e-01,0
stencil_starpu,2,2048,2048,100,10,5,9.710100e-01,0
stencil_starpu,2,2048,2048,100,10,6,9.360297e-01,0
stencil_starpu,2,2048,2048,100,10,7,9.364087e-01,0
stencil_starpu,2,2048,2048,100,10,8,9.345587e-01,0
stencil_starpu,2,2048,2048,100,10,9,9.700730e-01,0
stencil_starpu,4,2048,2048,100,10,0,6.311861e-01,0
stencil_starpu,4,2048,2048,100,10,1,5.992896e-01,0
stencil_starpu,4,2048,2048,100,10,2,5.701437e-01,0
stencil_starpu,4,2048,2048,100,10,3,5.710943e-01,0
stencil_starpu,4,2048,2048,100,10,4,5.990059e-01,0
stencil_starpu,4,2048,2048,100,10,5,6.075280e-01,0
stencil_starpu,4,2048,2048,100,10,6,6.040918e-01,0
stencil_starpu,4,2048,2048,100,10,7,6.019346e-01,0
stencil_starpu,4,2048,2048,100,10,8,5.966423e-01,0
stencil_starpu,4,2048,2048,100,10,9,5.912627e-01,0
stencil_starpu,8,2048,2048,100,10,0,4.279038e-01,0
stencil_starpu,8,2048,2048,100,10,1,4.360839e-01,0
stencil_starpu,8,2048,2048,100,10,2,4.244189e-01,0
stencil_starpu,8,2048,2048,100,10,3,4.234209e-01,0
stencil_starpu,8,2048,2048,100,10,4,4.263316e-01,0
stencil_starpu,8,2048,2048,100,10,5,4.029038e-01,0
stencil_starpu,8,2048,2048,100,10,6,4.369578e-01,0
stencil_starpu,8,2048,2048,100,10,7,3.937057e-01,0
stencil_starpu,8,2048,2048,100,10,8,4.189808e-01,0
stencil_starpu,8,2048,2048,100,10,9,3.867359e-01,0
stencil_starpu,16,2048,2048,100,10,0,3.099171e-01,0
stencil_starpu,16,2048,2048,100,10,1,3.946601e-01,0
stencil_starpu,16,2048,2048,100,10,2,3.864957e-01,0
stencil_starpu,16,2048,2048,100,10,3,3.925174e-01,0
stencil_starpu,16,2048,2048,100,10,4,3.697210e-01,0
stencil_starpu,16,2048,2048,100,10,5,3.790129e-01,0
stencil_starpu,16,2048,2048,100,10,6,3.822393e-01,0
stencil_starpu,16,2048,2048,100,10,7,3.714667e-01,0
stencil_starpu,16,2048,2048,100,10,8,3.727835e-01,0
stencil_starpu,16,2048,2048,100,10,9,3.577630e-01,0
stencil_starpu,32,2048,2048,100,10,0,3.764952e-01,0
stencil_starpu,32,2048,2048,100,10,1,4.074541e-01,0
stencil_starpu,32,2048,2048,100,10,2,3.629052e-01,0
stencil_starpu,32,2048,2048,100,10,3,3.919606e-01,0
stencil_starpu,32,2048,2048,100,10,4,4.190505e-01,0
stencil_starpu,32,2048,2048,100,10,5,3.713712e-01,0
stencil_starpu,32,2048,2048,100,10,6,4.121071e-01,0
stencil_starpu,32,2048,2048,100,10,7,3.799174e-01,0
stencil_starpu,32,2048,2048,100,10,8,3.704360e-01,0
stencil_starpu,32,2048,2048,100,10,9,4.099723e-01,0
stencil_starpu,64,2048,2048,100,10,0,3.863705e-01,0
stencil_starpu,64,2048,2048,100,10,1,4.808048e-01,0
stencil_starpu,64,2048,2048,100,10,2,4.949117e-01,0
stencil_starpu,64,2048,2048,100,10,3,4.862917e-01,0
stencil_starpu,64,2048,2048,100,10,4,4.882490e-01,0
stencil_starpu,64,2048,2048,100,10,5,4.503973e-01,0
stencil_starpu,64,2048,2048,100,10,6,5.081937e-01,0
stencil_starpu,64,2048,2048,100,10,7,4.758181e-01,0
stencil_starpu,64,2048,2048,100,10,8,4.503250e-01,0
stencil_starpu,64,2048,2048,100,10,9,5.117162e-01,0
stencil_starpu,128,2048,2048,100,10,0,7.425295e-01,0
stencil_starpu,128,2048,2048,100,10,1,8.245265e-01,0
stencil_starpu,128,2048,2048,100,10,2,8.778062e-01,0
stencil_starpu,128,2048,2048,100,10,3,8.551377e-01,0
stencil_starpu,128,2048,2048,100,10,4,8.720159e-01,0
stencil_starpu,128,2048,2048,100,10,5,8.633330e-01,0
stencil_starpu,128,2048,2048,100,10,6,8.625315e-01,0
stencil_starpu,128,2048,2048,100,10,7,8.874381e-01,0
stencil_starpu,128,2048,2048,100,10,8,8.830909e-01,0
stencil_starpu,128,2048,2048,100,10,9,8.691168e-01,0
stencil_starpu,256,2048,2048,100,10,0,1.286568e+00,0
stencil_starpu,256,2048,2048,100,10,1,1.470741e+00,0
stencil_starpu,256,2048,2048,100,10,2,1.625945e+00,0
stencil_starpu,256,2048,2048,100,10,3,1.640614e+00,0
stencil_starpu,256,2048,2048,100,10,4,1.580367e+00,0
stencil_starpu,256,2048,2048,100,10,5,1.599412e+00,0
stencil_starpu,256,2048,2048,100,10,6,1.513171e+00,0
stencil_starpu,256,2048,2048,100,10,7,1.554793e+00,0
stencil_starpu,256,2048,2048,100,10,8,1.557573e+00,0
stencil_starpu,256,2048,2048,100,10,9,1.412338e+00,0
stencil_starpu,512,2048,2048,100,10,0,2.716301e+00,0
stencil_starpu,512,2048,2048,100,10,1,2.742281e+00,0
stencil_starpu,512,2048,2048,100,10,2,2.274226e+00,0
stencil_starpu,512,2048,2048,100,10,3,2.140888e+00,0
stencil_starpu,512,2048,2048,100,10,4,2.951088e+00,0
stencil_starpu,512,2048,2048,100,10,5,2.192855e+00,0
stencil_starpu,512,2048,2048,100,10,6,3.067667e+00,0
stencil_starpu,512,2048,2048,100,10,7,3.095209e+00,0
stencil_starpu,512,2048,2048,100,10,8,2.639652e+00,0
stencil_starpu,512,2048,2048,100,10,9,2.856751e+00,0
stencil_starpu,1024,2048,2048,100,10,0,4.436142e+00,0
stencil_starpu,1024,2048,2048,100,10,1,5.158544e+00,0
stencil_starpu,1024,2048,2048,100,10,2,5.065615e+00,0
stencil_starpu,1024,2048,2048,100,10,3,4.700270e+00,0
stencil_starpu,1024,2048,2048,100,10,4,4.957581e+00,0
stencil_starpu,1024,2048,2048,100,10,5,4.225479e+00,0
stencil_starpu,1024,2048,2048,100,10,6,5.655276e+00,0
stencil_starpu,1024,2048,2048,100,10,7,5.354969e+00,0
stencil_starpu,1024,2048,2048,100,10,8,5.798994e+00,0
stencil_starpu,1024,2048,2048,100,10,9,4.811985e+00,0
stencil_starpu,2046,2048,2048,100,10,0,1.037336e+01,0
stencil_starpu,2046,2048,2048,100,10,1,1.068204e+01,0
stencil_starpu,2046,2048,2048,100,10,2,8.642259e+00,0
stencil_starpu,2046,2048,2048,100,10,3,1.026764e+01,0
stencil_starpu,2046,2048,2048,100,10,4,8.258894e+00,0
stencil_starpu,2046,2048,2048,100,10,5,9.883864e+00,0
stencil_starpu,2046,2048,2048,100,10,6,9.359493e+00,0
stencil_starpu,2046,2048,2048,100,10,7,1.001100e+01,0
stencil_starpu,2046,2048,2048,100,10,8,8.148064e+00,0
stencil_starpu,2046,2048,2048,100,10,9,1.102854e+01,0
stencil_starpu,2,4096,4096,100,10,0,3.231292e+00,0
stencil_starpu,2,4096,4096,100,10,1,3.194329e+00,0
stencil_starpu,2,4096,4096,100,10,2,3.190228e+00,0
stencil_starpu,2,4096,4096,100,10,3,3.206841e+00,0
stencil_starpu,2,4096,4096,100,10,4,3.222876e+00,0
stencil_starpu,2,4096,4096,100,10,5,3.219367e+00,0
stencil_starpu,2,4096,4096,100,10,6,3.194386e+00,0
stencil_starpu,2,4096,4096,100,10,7,3.228042e+00,0
stencil_starpu,2,4096,4096,100,10,8,3.196409e+00,0
stencil_starpu,2,4096,4096,100,10,9,3.206130e+00,0
stencil_starpu,4,4096,4096,100,10,0,1.815690e+00,0
stencil_starpu,4,4096,4096,100,10,1,1.797323e+00,0
stencil_starpu,4,4096,4096,100,10,2,1.790300e+00,0
stencil_starpu,4,4096,4096,100,10,3,1.805530e+00,0
stencil_starpu,4,4096,4096,100,10,4,1.801085e+00,0
stencil_starpu,4,4096,4096,100,10,5,1.793624e+00,0
stencil_starpu,4,4096,4096,100,10,6,1.774003e+00,0
stencil_starpu,4,4096,4096,100,10,7,1.800546e+00,0
