kernel,array_len,nb_bins,nb_repeat,rep,timing,check_status
histogram,8192,131072,10,5,3.371561e-01,0
histogram,8192,131072,10,6,3.404537e-01,0
histogram,8192,131072,10,7,3.419620e-01,0
histogram,8192,131072,10,8,3.424761e-01,0
histogram,8192,131072,10,9,3.390296e-01,0
histogram,16384,4096,10,0,2.090754e-02,0
histogram,16384,4096,10,1,2.109348e-02,0
histogram,16384,4096,10,2,2.094835e-02,0
histogram,16384,4096,10,3,2.119350e-02,0
histogram,16384,4096,10,4,2.118841e-02,0
histogram,16384,4096,10,5,2.109061e-02,0
histogram,16384,4096,10,6,2.123258e-02,0
histogram,16384,4096,10,7,2.091445e-02,0
histogram,16384,4096,10,8,2.108795e-02,0
histogram,16384,4096,10,9,2.111531e-02,0
histogram,16384,8192,10,0,4.184653e-02,0
histogram,16384,8192,10,1,4.212860e-02,0
histogram,16384,8192,10,2,4.188085e-02,0
histogram,16384,8192,10,3,4.229768e-02,0
histogram,16384,8192,10,4,4.251893e-02,0
histogram,16384,8192,10,5,4.215204e-02,0
histogram,16384,8192,10,6,4.236622e-02,0
histogram,16384,8192,10,7,4.178691e-02,0
histogram,16384,8192,10,8,4.212675e-02,0
histogram,16384,8192,10,9,4.221549e-02,0
histogram,16384,16384,10,0,8.336956e-02,0
histogram,16384,16384,10,1,8.405694e-02,0
histogram,16384,16384,10,2,8.360533e-02,0
histogram,16384,16384,10,3,8.482264e-02,0
histogram,16384,16384,10,4,8.445569e-02,0
histogram,16384,16384,10,5,8.415368e-02,0
histogram,16384,16384,10,6,8.460969e-02,0
histogram,16384,16384,10,7,8.344862e-02,0
histogram,16384,16384,10,8,8.425611e-02,0
histogram,16384,16384,10,9,8.428665e-02,0
histogram,16384,32768,10,0,1.672310e-01,0
histogram,16384,32768,10,1,1.679755e-01,0
histogram,16384,32768,10,2,1.672823e-01,0
histogram,16384,32768,10,3,1.688732e-01,0
histogram,16384,32768,10,4,1.687844e-01,0
histogram,16384,32768,10,5,1.685797e-01,0
histogram,16384,32768,10,6,1.692088e-01,0
histogram,16384,32768,10,7,1.668837e-01,0
histogram,16384,32768,10,8,1.680868e-01,0
histogram,16384,32768,10,9,1.685161e-01,0
histogram,16384,65536,10,0,3.346879e-01,0
histogram,16384,65536,10,1,3.365128e-01,0
histogram,16384,65536,10,2,3.349744e-01,0
histogram,16384,65536,10,3,3.383566e-01,0
histogram,16384,65536,10,4,3.381608e-01,0
histogram,16384,65536,10,5,3.370953e-01,0
histogram,16384,65536,10,6,3.388591e-01,0
histogram,16384,65536,10,7,3.339895e-01,0
histogram,16384,65536,10,8,3.365441e-01,0
histogram,16384,65536,10,9,3.373765e-01,0
histogram,16384,131072,10,0,6.746415e-01,0
histogram,16384,131072,10,1,6.768444e-01,0
histogram,16384,131072,10,2,6.734205e-01,0
histogram,16384,131072,10,3,6.812954e-01,0
histogram,16384,131072,10,4,6.816104e-01,0
histogram,16384,131072,10,5,6.779186e-01,0
histogram,16384,131072,10,6,6.826664e-01,0
histogram,16384,131072,10,7,6.725628e-01,0
histogram,16384,131072,10,8,6.773191e-01,0
histogram,16384,131072,10,9,6.797069e-01,0
histogram,32768,4096,10,0,4.173256e-02,0
histogram,32768,4096,10,1,4.208383e-02,0
histogram,32768,4096,10,2,4.219282e-02,0
histogram,32768,4096,10,3,4.207231e-02,0
histogram,32768,4096,10,4,4.216970e-02,0
histogram,32768,4096,10,5,4.197434e-02,0
histogram,32768,4096,10,6,4.217982e-02,0
histogram,32768,4096,10,7,4.218530e-02,0
histogram,32768,4096,10,8,4.223651e-02,0
histogram,32768,4096,10,9,4.231869e-02,0
histogram,32768,8192,10,0,8.373427e-02,0
histogram,32768,8192,10,1,8.410362e-02,0
histogram,32768,8192,10,2,8.437071e-02,0
histogram,32768,8192,10,3,8.407171e-02,0
histogram,32768,8192,10,4,8.423518e-02,0
histogram,32768,8192,10,5,8.387903e-02,0
histogram,32768,8192,10,6,8.425789e-02,0
histogram,32768,8192,10,7,8.433061e-02,0
histogram,32768,8192,10,8,8.436874e-02,0
histogram,32768,8192,10,9,8.457369e-02,0
histogram,32768,16384,10,0,1.674904e-01,0
histogram,32768,16384,10,1,1.680390e-01,0
histogram,32768,16384,10,2,1.689077e-01,0
histogram,32768,16384,10,3,1.681133e-01,0
histogram,32768,16384,10,4,1.683059e-01,0
histogram,32768,16384,10,5,1.677150e-01,0
histogram,32768,16384,10,6,1.685004e-01,0
histogram,32768,16384,10,7,1.683948e-01,0
